id,pathovar_id,sequenced_filemaker,original_filemaker,country,iso_a3,continent,year,pathovar
barcode01,Xcr_barcode01,6737,6737,,NA,Asia,,Xcr
barcode02,Xcr_barcode02,6738,6199,USA,USA,North_America,2005,Xcr
barcode03,Xcr_barcode03,6739,6202,USA,USA,North_America,2007,Xcr
barcode04,Xcr_barcode04,6740,6200,USA,USA,North_America,2006,Xcr
barcode05,Xcc_barcode05,6741,6471,China,CHN,Asia,2005,Xcc
barcode06,Xcc_barcode06,6742,5308,Netherlands,NLD,Europe,,Xcc
barcode07,Xcc_barcode07,6743,5309,Belgium,BEL,Europe,1999,Xcc
barcode08,Xcc_barcode08,6744,6286,,NA,,,Xcc
barcode09,Xcc_barcode09,6745,6341,USA,USA,North_America,2016,Xcc
barcode10,Xcc_barcode10,6747,6459,France,FRA,Europe,1975,Xcc
barcode11,Xcc_barcode11,6749,6469,Germany,DEU,Europe,1958,Xcc
barcode12,Xcc_barcode12,6750,6470,Australia,AUS,Oceania,1975,Xcc
barcode13,Xcc_barcode13,6751,6477,Algeria,DZA,Africa,2013,Xcc
barcode14,Xcr_barcode14,6752,6209,,NA,,,Xcr
barcode15,Xcr_barcode15,6753,6210,,NA,,,Xcr
barcode16,Xcc_barcode16,6755,6423,Uganda,UGA,Africa,1962,Xcc
barcode17,Xcc_barcode17,6756,6424,United_Kingdom,GBR,Europe,1962,Xcc
barcode18,Xcc_barcode18,6757,6425,,NA,,,Xcc
barcode19,Xcc_barcode19,6758,6426,Burundi,BDI,Africa,1979,Xcc
barcode20,Xcc_barcode20,6759,6427,New_Zealand,NZL,Oceania,1953,Xcc
barcode21,Xcc_barcode21,6760,6428,Canada,CAN,North_America,1953,Xcc
barcode22,Xcc_barcode22,6761,6430,Belgium,BEL,Europe,1985,Xcc
barcode23,Xcc_barcode23,6762,6431,United_Kingdom,GBR,Europe,1967,Xcc
barcode24,Xcc_barcode24,6763,6432,Papua_New_Guinea,PNG,Oceania,1961,Xcc
barcode25,Xcc_barcode25,6764,6433,Kenya,KEN,Africa,1964,Xcc
barcode26,Xcc_barcode26,6765,6434,Tonga,TON,Africa,1964,Xcc
barcode27,Xcc_barcode27,6766,6435,Australia,AUS,Oceania,1965,Xcc
barcode28,Xcc_barcode28,6768,6437,New_Zealand,NZL,Oceania,1957,Xcc
barcode29,Xcc_barcode29,6769,6441,Cook_Islands,COK,Oceania,1974,Xcc
barcode30,Xcc_barcode30,6771,6443,New_Zealand,NZL,Oceania,1976,Xcc
barcode31,Xcr_barcode31,6773,6448,USA,USA,North_America,1940,Xcr
barcode32,Xcr_barcode32,6774,6449,USA,USA,North_America,,Xcr
barcode33,Xcc_barcode33,6775,6455,France,FRA,Europe,1967,Xcc
barcode34,Xcc_barcode34,6776,6458,France,FRA,Europe,1975,Xcc
barcode35,Xcc_barcode35,6778,6460,,NA,,,Xcc
barcode36,Xcr_barcode36,6779,6465,France,FRA,Europe,1993,Xcr
barcode37,Xcr_barcode37,6780,6466,France,FRA,Europe,1994,Xcr
barcode38,Xcc_barcode38,6783,6471,China,CHN,Asia,2005,Xcc
barcode39,Xcc_barcode39,6784,6476,Algeria,DZA,Africa,2011,Xcc
barcode40,Xcc_barcode40,6746,6346,Chili,CHL,South_America,2016,Xcc
barcode41,Xcr_barcode41,6786,6197,USA,USA,North_America,2005,Xcr
barcode42,Xcr_barcode42,6787,6198,USA,USA,North_America,2005,Xcr
barcode43,Xcr_barcode43,6788,6203,USA,USA,North_America,2009,Xcr
barcode44,Xcr_barcode44,6789,6205,,NA,,,Xcr
barcode45,Xcr_barcode45,6790,6206,,NA,,,Xcr
barcode46,Xcr_barcode46,6791,6207,,NA,,,Xcr
barcode47,Xcr_barcode47,6792,6208,,NA,,,Xcr
barcode48,Xcr_barcode48,6793,6211,,NA,,,Xcr
barcode49,Xcr_barcode49,6794,6326,,NA,,,Xcr
barcode50,Xcc_barcode50,6795,6225,Russia,RUS,Asia,,Xcc
barcode51,Xcr_barcode51,6796,6227,USA,USA,North_America,,Xcr
barcode52,Xcr_barcode52,6797,6230,USA,USA,North_America,,Xcr
barcode53,Xcr_barcode53,6798,6232,USA,USA,North_America,1940,Xcr
barcode54,Xcr_barcode54,6799,6242,USA,USA,North_America,1994,Xcr
barcode55,Xcr_barcode55,6800,6244,USA,USA,North_America,1995,Xcr
barcode56,Xcr_barcode56,6801,6246,USA,USA,North_America,2008,Xcr
barcode57,Xcr_barcode57,6802,6274,USA,USA,North_America,,Xcr
barcode58,Xcr_barcode58,6803,6275,,NA,,1998,Xcr
barcode59,Xcr_barcode59,6804,6279,,NA,,2004,Xcr
barcode60,Xcr_barcode60,6805,6282,,NA,,2006,Xcr
barcode61,Xcr_barcode61,6806,6324,Australia,AUS,Oceania,2018,Xcr
barcode62,Xcr_barcode62,6807,6326,,NA,,,Xcr
barcode63,Xcr_barcode63,6808,6330,Germany,DEU,Europe,2006,Xcr
barcode64,Xcr_barcode64,6809,6335,USA,USA,North_America,2013,Xcr
barcode65,Xcr_barcode65,6810,6343,USA,USA,North_America,2017,Xcr
barcode66,Xcr_barcode66,6811,6344,Chili,CHL,South_America,2017,Xcr
barcode67,Xcc_barcode67,6812,3881,,NA,,2008,Xcc
barcode68,Xcc_barcode68,6813,5193,,NA,,,Xcc
barcode69,Xcr_barcode69,6814,6157,Netherlands,NLD,Europe,2016,Xcr
barcode70,Xcr_barcode70,6815,6158,,NA,,,Xcr
barcode71,Xcc_barcode71,6817,4965,,NA,,,Xcc
barcode72,Xcc_barcode72,6818,5271,USA,USA,North_America,2004,Xcc
barcode73,Xcc_barcode73,6819,5272,USA,USA,North_America,2004,Xcc
barcode74,Xcc_barcode74,6820,5360,Spain,ESP,Europe,2009,Xcc
barcode75,Xcc_barcode75,6821,5361,Spain,ESP,Europe,2009,Xcc
barcode76,Xcc_barcode76,6822,5364,Spain,ESP,Europe,2009,Xcc
barcode77,Xcc_barcode77,6823,5471,Italy,ITA,Europe,2007,Xcc
barcode78,Xcc_barcode78,6824,5470,Italy,ITA,Europe,2007,Xcc
barcode79,Xcc_barcode79,6825,6474,China,CHN,Asia,2002,Xcc
barcode80,Xcc_barcode80,6826,6475,China,CHN,Asia,2002,Xcc
barcode81,Xcr_barcode81,6827,6684,Taiwan,TWN,Asia,,Xcr
barcode82,Xcc_barcode82,6828,6685,Taiwan,TWN,Asia,,Xcc
barcode83,Xcr_barcode83,6829,6688,Taiwan,TWN,Asia,,Xcr
barcode84,Xcc_barcode84,6830,6717,Netherlands,NLD,Europe,2020,Xcc
barcode85,Xcc_barcode85,6831,3867,France,FRA,Europe,1967,Xcc
barcode86,Xcc_barcode86,6832,3869,France,FRA,Europe,1975,Xcc
barcode87,Xcc_barcode87,6748,3874,France,FRA,Europe,1957,Xcc
barcode88,Xcc_barcode88,6777,3873,Belgium,BEL,Europe,1999,Xcc
barcode89,Xcr_barcode89,6781,3878,USA,USA,North_America,,Xcr
barcode90,Not_pathogenic_barcode90,6785,6680,,NA,,,not_pathogenic
barcode91,Xcr_barcode91,6767,6322,Chili,NA,South_America,2018,Xcr
barcode92,Xcr_barcode92,6772,6333,USA,USA,North_America,2011,Xcr
barcode93,Xcr_barcode93,6770,6734,,NA,,,Xcr
barcode94,Xcc_barcode94,6782,6732,Hawai,USA,North_America,,Xcc
barcode95,Xcr_barcode95,6816,6733,USA,USA,North_America,,Xcr
barcode96,Xcr_barcode96,6754,6731,Hawai,USA,North_America,,Xcr