id,barcode,pathovar
Xcr_barcode01,barcode01,Xcr
Xcr_barcode02,barcode02,Xcr
Xcr_barcode03,barcode03,Xcr
Xcr_barcode04,barcode04,Xcr
Xcc_barcode05,barcode05,Xcc
Xcc_barcode06,barcode06,Xcc
Xcc_barcode07,barcode07,Xcc
Xcc_barcode08,barcode08,Xcc
Xcc_barcode09,barcode09,Xcc
Xcc_barcode10,barcode10,Xcc
Xcc_barcode11,barcode11,Xcc
Xcc_barcode12,barcode12,Xcc
Xcc_barcode13,barcode13,Xcc
Xcr_barcode14,barcode14,Xcr
Xcr_barcode15,barcode15,Xcr
Xcc_barcode16,barcode16,Xcc
Xcc_barcode17,barcode17,Xcc
Xcc_barcode18,barcode18,Xcc
Xcc_barcode19,barcode19,Xcc
Xcc_barcode20,barcode20,Xcc
Xcc_barcode21,barcode21,Xcc
Xcc_barcode22,barcode22,Xcc
Xcc_barcode23,barcode23,Xcc
Xcc_barcode24,barcode24,Xcc
Xcc_barcode25,barcode25,Xcc
Xcc_barcode26,barcode26,Xcc
Xcc_barcode27,barcode27,Xcc
Xcc_barcode28,barcode28,Xcc
Xcc_barcode29,barcode29,Xcc
Xcc_barcode30,barcode30,Xcc
Xcr_barcode31,barcode31,Xcr
Xcr_barcode32,barcode32,Xcr
Xcc_barcode33,barcode33,Xcc
Xcc_barcode34,barcode34,Xcc
Xcc_barcode35,barcode35,Xcc
Xcr_barcode36,barcode36,Xcr
Xcr_barcode37,barcode37,Xcr
Xcc_barcode38,barcode38,Xcc
Xcc_barcode39,barcode39,Xcc
Xcc_barcode40,barcode40,Xcc
Xcr_barcode41,barcode41,Xcr
Xcr_barcode42,barcode42,Xcr
Xcr_barcode43,barcode43,Xcr
Xcr_barcode44,barcode44,Xcr
Xcr_barcode45,barcode45,Xcr
Xcr_barcode46,barcode46,Xcr
Xcr_barcode47,barcode47,Xcr
Xcr_barcode48,barcode48,Xcr
Xcr_barcode49,barcode49,Xcr
Xcc_barcode50,barcode50,Xcc
Xcr_barcode51,barcode51,Xcr
Xcr_barcode52,barcode52,Xcr
Xcr_barcode53,barcode53,Xcr
Xcr_barcode54,barcode54,Xcr
Xcr_barcode55,barcode55,Xcr
Xcr_barcode56,barcode56,Xcr
Xcr_barcode57,barcode57,Xcr
Xcr_barcode58,barcode58,Xcr
Xcr_barcode59,barcode59,Xcr
Xcr_barcode60,barcode60,Xcr
Xcr_barcode61,barcode61,Xcr
Xcr_barcode62,barcode62,Xcr
Xcr_barcode63,barcode63,Xcr
Xcr_barcode64,barcode64,Xcr
Xcr_barcode65,barcode65,Xcr
Xcr_barcode66,barcode66,Xcr
Xcc_barcode67,barcode67,Xcc
Xcc_barcode68,barcode68,Xcc
Xcr_barcode69,barcode69,Xcr
Xcr_barcode70,barcode70,Xcr
Xcc_barcode71,barcode71,Xcc
Xcc_barcode72,barcode72,Xcc
Xcc_barcode73,barcode73,Xcc
Xcc_barcode74,barcode74,Xcc
Xcc_barcode75,barcode75,Xcc
Xcc_barcode76,barcode76,Xcc
Xcc_barcode77,barcode77,Xcc
Xcc_barcode78,barcode78,Xcc
Xcc_barcode79,barcode79,Xcc
Xcc_barcode80,barcode80,Xcc
Xcr_barcode81,barcode81,Xcr
Xcc_barcode82,barcode82,Xcc
Xcr_barcode83,barcode83,Xcr
Xcc_barcode84,barcode84,Xcc
Xcc_barcode85,barcode85,Xcc
Xcc_barcode86,barcode86,Xcc
Xcc_barcode87,barcode87,Xcc
Xcc_barcode88,barcode88,Xcc
Xcr_barcode89,barcode89,Xcr
Not_pathogenic_barcode90,barcode90,np
Xcr_barcode91,barcode91,Xcr
Xcr_barcode92,barcode92,Xcr
Xcr_barcode93,barcode93,Xcr
Xcc_barcode94,barcode94,Xcc
Xcr_barcode95,barcode95,Xcr
Xcr_barcode96,barcode96,Xcr