id,barcode,pathovar,n_T3E,Plasmid
Xcr_barcode01,barcode01,Xcr,15,No
Xcr_barcode02,barcode02,Xcr,15,No
Xcr_barcode03,barcode03,Xcr,16,No
Xcr_barcode04,barcode04,Xcr,17,No
Xcc_barcode05,barcode05,Xcc,34,Yes
Xcc_barcode06,barcode06,Xcc,32,No
Xcc_barcode07,barcode07,Xcc,32,No
Xcc_barcode08,barcode08,Xcc,32,No
Xcc_barcode09,barcode09,Xcc,33,No
Xcc_barcode10,barcode10,Xcc,34,No
Xcc_barcode11,barcode11,Xcc,33,Yes
Xcc_barcode12,barcode12,Xcc,34,Yes
Xcc_barcode13,barcode13,Xcc,32,No
Xcr_barcode14,barcode14,Xcr,16,No
Xcr_barcode15,barcode15,Xcr,16,No
Xcc_barcode16,barcode16,Xcc,32,No
Xcc_barcode17,barcode17,Xcc,32,No
Xcc_barcode18,barcode18,Xcc,31,No
Xcc_barcode19,barcode19,Xcc,31,No
Xcc_barcode20,barcode20,Xcc,32,No
Xcc_barcode21,barcode21,Xcc,30,Yes
Xcc_barcode22,barcode22,Xcc,30,No
Xcc_barcode23,barcode23,Xcc,32,No
Xcc_barcode24,barcode24,Xcc,33,No
Xcc_barcode25,barcode25,Xcc,33,No
Xcc_barcode26,barcode26,Xcc,32,No
Xcc_barcode27,barcode27,Xcc,32,No
Xcc_barcode28,barcode28,Xcc,31,No
Xcc_barcode29,barcode29,Xcc,33,No
Xcc_barcode30,barcode30,Xcc,31,No
Xcr_barcode31,barcode31,Xcr,17,No
Xcr_barcode32,barcode32,Xcr,16,No
Xcc_barcode33,barcode33,Xcc,33,No
Xcc_barcode34,barcode34,Xcc,32,No
Xcc_barcode35,barcode35,Xcc,31,No
Xcr_barcode36,barcode36,Xcr,18,No
Xcr_barcode37,barcode37,Xcr,17,No
Xcc_barcode38,barcode38,Xcc,33,No
Xcc_barcode39,barcode39,Xcc,32,No
Xcc_barcode40,barcode40,Xcc,33,No
Xcr_barcode41,barcode41,Xcr,18,No
Xcr_barcode42,barcode42,Xcr,18,No
Xcr_barcode43,barcode43,Xcr,15,No
Xcr_barcode44,barcode44,Xcr,16,No
Xcr_barcode45,barcode45,Xcr,18,No
Xcr_barcode46,barcode46,Xcr,17,No
Xcr_barcode47,barcode47,Xcr,17,No
Xcr_barcode48,barcode48,Xcr,15,No
Xcr_barcode49,barcode49,Xcr,16,No
Xcc_barcode50,barcode50,Xcc,32,No
Xcr_barcode51,barcode51,Xcr,16,No
Xcr_barcode52,barcode52,Xcr,19,No
Xcr_barcode53,barcode53,Xcr,17,No
Xcr_barcode54,barcode54,Xcr,15,No
Xcr_barcode55,barcode55,Xcr,19,No
Xcr_barcode56,barcode56,Xcr,15,No
Xcr_barcode57,barcode57,Xcr,16,No
Xcr_barcode58,barcode58,Xcr,17,No
Xcr_barcode59,barcode59,Xcr,17,No
Xcr_barcode60,barcode60,Xcr,17,No
Xcr_barcode61,barcode61,Xcr,18,No
Xcr_barcode62,barcode62,Xcr,16,No
Xcr_barcode63,barcode63,Xcr,15,No
Xcr_barcode64,barcode64,Xcr,17,No
Xcr_barcode65,barcode65,Xcr,17,No
Xcr_barcode66,barcode66,Xcr,16,No
Xcc_barcode67,barcode67,Xcc,32,No
Xcc_barcode68,barcode68,Xcc,32,No
Xcr_barcode69,barcode69,Xcr,17,No
Xcr_barcode70,barcode70,Xcr,15,No
Xcc_barcode71,barcode71,Xcc,32,No
Xcc_barcode72,barcode72,Xcc,32,No
Xcc_barcode73,barcode73,Xcc,32,No
Xcc_barcode74,barcode74,Xcc,32,No
Xcc_barcode75,barcode75,Xcc,32,No
Xcc_barcode76,barcode76,Xcc,31,No
Xcc_barcode77,barcode77,Xcc,32,No
Xcc_barcode78,barcode78,Xcc,30,No
Xcc_barcode79,barcode79,Xcc,31,No
Xcc_barcode80,barcode80,Xcc,32,Yes
Xcr_barcode81,barcode81,Xcr,16,No
Xcc_barcode82,barcode82,Xcc,33,Yes
Xcr_barcode83,barcode83,Xcr,14,No
Xcc_barcode84,barcode84,Xcc,32,No
Xcc_barcode85,barcode85,Xcc,32,No
Xcc_barcode86,barcode86,Xcc,33,No
Xcc_barcode87,barcode87,Xcc,32,No
Xcc_barcode88,barcode88,Xcc,29,No
Xcr_barcode89,barcode89,Xcr,17,No
Not_pathogenic_barcode90,barcode90,np,4,No
Xcr_barcode91,barcode91,Xcr,14,No
Xcr_barcode92,barcode92,Xcr,15,No
Xcr_barcode93,barcode93,Xcr,15,Yes
Xcc_barcode94,barcode94,Xcc,29,No
Xcr_barcode95,barcode95,Xcr,14,No
Xcr_barcode96,barcode96,Xcr,15,No